epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1226.53,0.75236,0.61331,1.0018,0.89611,0.86732,0.94869,0.84156,0.55768,0.44649,0.89387,0.00113898,0.00113898,0.00113898
43,1254.84,0.78047,0.65922,1.03202,0.91219,0.89504,0.95088,0.83046,0.63256,0.46984,0.91131,0.00113191,0.00113191,0.00113191
44,1283.5,0.7686,0.63886,1.0268,0.90749,0.89344,0.94603,0.81809,0.61881,0.49272,0.9263,0.00112484,0.00112484,0.00112484
45,1311.56,0.74965,0.57054,1.00322,0.89784,0.88074,0.93739,0.82297,0.60479,0.47521,0.91863,0.00111776,0.00111776,0.00111776
46,1338.74,0.74539,0.58513,0.98921,0.89947,0.87546,0.93473,0.82903,0.59406,0.51027,0.91446,0.00111069,0.00111069,0.00111069
47,1365.86,0.76404,0.66197,1.00826,0.96842,0.84943,0.93706,0.83472,0.59744,0.49705,0.91063,0.00110362,0.00110362,0.00110362
48,1392.96,0.79712,0.66661,1.01488,0.90576,0.91305,0.94473,0.84458,0.60217,0.4218,0.91171,0.00109654,0.00109654,0.00109654
49,1420.08,0.74915,0.56734,0.99952,0.93957,0.83657,0.94873,0.83757,0.60084,0.44129,0.91078,0.00108947,0.00108947,0.00108947
50,1447.09,0.70361,0.57858,0.99294,0.8926,0.9165,0.94905,0.83775,0.61353,0.46373,0.91719,0.0010824,0.0010824,0.0010824
51,1473.99,0.72589,0.52385,0.99187,0.92472,0.89193,0.93994,0.82784,0.61501,0.46295,0.92563,0.00107532,0.00107532,0.00107532
52,1500.96,0.7019,0.52664,0.98254,0.90274,0.90711,0.95134,0.86173,0.55238,0.39836,0.9011,0.00106825,0.00106825,0.00106825
53,1527.87,0.70637,0.59092,0.98628,0.94904,0.87383,0.95504,0.85534,0.55757,0.40583,0.88516,0.00106118,0.00106118,0.00106118
54,1555.24,0.70993,0.54972,0.97794,0.90372,0.88827,0.9427,0.84189,0.55557,0.46221,0.88545,0.0010541,0.0010541,0.0010541
55,1582.64,0.71496,0.57425,0.97582,0.85812,0.953,0.94309,0.82698,0.66796,0.40854,0.92852,0.00104703,0.00104703,0.00104703
56,1610.16,0.68332,0.5147,0.95031,0.9499,0.90598,0.96473,0.86963,0.57974,0.40955,0.9045,0.00103995,0.00103995,0.00103995
57,1637.91,0.73159,0.59665,0.99198,0.89067,0.89946,0.94803,0.84289,0.58039,0.44484,0.89834,0.00103288,0.00103288,0.00103288
58,1666,0.71942,0.51318,0.96947,0.948,0.8551,0.94878,0.84704,0.59929,0.39661,0.88653,0.00102581,0.00102581,0.00102581
59,1694.13,0.71029,0.59005,0.99874,0.85791,0.94893,0.95379,0.85204,0.56651,0.38184,0.88643,0.00101873,0.00101873,0.00101873
60,1721.89,0.6802,0.51055,0.98181,0.90136,0.94152,0.95687,0.85133,0.57381,0.38013,0.89076,0.00101166,0.00101166,0.00101166
61,1749.46,0.67335,0.54113,0.97827,0.91137,0.91991,0.95877,0.8494,0.58189,0.38581,0.9097,0.00100459,0.00100459,0.00100459
62,1778.29,0.67862,0.55257,0.94736,0.98775,0.92239,0.96788,0.86031,0.5541,0.37647,0.88508,0.000997513,0.000997513,0.000997513
63,1805.72,0.6204,0.49498,0.949,0.88154,0.95197,0.952,0.86278,0.53952,0.39805,0.87941,0.00099044,0.00099044,0.00099044
64,1833.01,0.6684,0.51197,0.97288,0.92746,0.89842,0.95718,0.86568,0.55218,0.40806,0.89631,0.000983366,0.000983366,0.000983366
65,1860.59,0.64571,0.51564,0.96774,0.90886,0.93998,0.96092,0.87939,0.49615,0.36831,0.86953,0.000976293,0.000976293,0.000976293
66,1888.39,0.6634,0.52773,0.96294,0.90096,0.93915,0.95739,0.86237,0.5561,0.39186,0.88557,0.000969219,0.000969219,0.000969219
67,1916.17,0.65146,0.49944,0.9437,0.88833,0.91906,0.95704,0.85733,0.53258,0.43811,0.87263,0.000962146,0.000962146,0.000962146
68,1943.68,0.64087,0.49957,0.95363,0.96917,0.89442,0.96161,0.85212,0.56949,0.41942,0.89529,0.000955072,0.000955072,0.000955072
69,1974.59,0.64028,0.51981,0.96859,0.90362,0.92856,0.95858,0.86999,0.53177,0.36593,0.8806,0.000947999,0.000947999,0.000947999
70,2004.58,0.63843,0.49233,0.92591,0.93189,0.92928,0.96598,0.87295,0.53748,0.36508,0.86549,0.000940925,0.000940925,0.000940925
71,2038.21,0.63424,0.49844,0.96052,0.90651,0.94661,0.96272,0.86151,0.55444,0.42017,0.88921,0.000933851,0.000933851,0.000933851
