epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,4983.17,0.35931,0.23936,0.8314,0.94671,0.96313,0.96951,0.91125,0.41089,0.2843,0.81824,0.000219423,0.000219423,0.000219423
173,5021.38,0.37966,0.26542,0.83754,0.9435,0.95166,0.96938,0.91319,0.40514,0.29581,0.82022,0.000212349,0.000212349,0.000212349
174,5051.66,0.38669,0.28846,0.82894,0.93896,0.95566,0.96854,0.91615,0.40724,0.30422,0.82064,0.000205276,0.000205276,0.000205276
175,5081.52,0.38242,0.2717,0.84618,0.93936,0.95155,0.96558,0.90812,0.40431,0.33128,0.8163,0.000198202,0.000198202,0.000198202
176,5108.37,0.39315,0.2741,0.85458,0.947,0.95109,0.96873,0.91374,0.41158,0.30432,0.81686,0.000191129,0.000191129,0.000191129
177,5135.72,0.37927,0.26192,0.83769,0.93508,0.95295,0.96874,0.91564,0.40238,0.30736,0.81826,0.000184055,0.000184055,0.000184055
178,5163.48,0.38484,0.26398,0.84969,0.929,0.94531,0.96849,0.91973,0.40273,0.30478,0.81754,0.000176982,0.000176982,0.000176982
179,5191.02,0.36684,0.24147,0.8451,0.93988,0.93146,0.96758,0.91818,0.40024,0.31036,0.81485,0.000169908,0.000169908,0.000169908
180,5219.73,0.4043,0.27614,0.86322,0.93327,0.93585,0.96783,0.9114,0.41364,0.32858,0.8228,0.000162835,0.000162835,0.000162835
181,5247.33,0.35803,0.24433,0.82694,0.93674,0.95597,0.96921,0.91626,0.41492,0.31351,0.82315,0.000155761,0.000155761,0.000155761
182,5274.65,0.37682,0.29803,0.85395,0.93606,0.95265,0.96871,0.91477,0.41544,0.31064,0.81922,0.000148687,0.000148687,0.000148687
183,5302.14,0.38973,0.28207,0.84431,0.93591,0.94881,0.96895,0.91307,0.41681,0.33152,0.81947,0.000141614,0.000141614,0.000141614
184,5329.29,0.36699,0.24105,0.83225,0.9512,0.94029,0.96881,0.9114,0.41644,0.31655,0.81898,0.00013454,0.00013454,0.00013454
185,5356.27,0.36356,0.24586,0.83715,0.95355,0.93953,0.96867,0.90993,0.41582,0.31941,0.81906,0.000127467,0.000127467,0.000127467
186,5383.45,0.37576,0.2626,0.84055,0.93707,0.94319,0.96799,0.90899,0.41097,0.30818,0.81699,0.000120393,0.000120393,0.000120393
187,5412,0.37194,0.28105,0.85378,0.93685,0.9423,0.96794,0.91165,0.40228,0.30696,0.81539,0.00011332,0.00011332,0.00011332
188,5438.91,0.34259,0.2327,0.84006,0.98646,0.90123,0.96908,0.91449,0.40683,0.30177,0.81836,0.000106246,0.000106246,0.000106246
189,5466.24,0.35764,0.26735,0.82741,0.94645,0.94197,0.96848,0.91038,0.4094,0.2884,0.81842,9.91726e-05,9.91726e-05,9.91726e-05
190,5493.73,0.36809,0.2394,0.84759,0.93896,0.94331,0.96981,0.91599,0.40758,0.29049,0.81802,9.20991e-05,9.20991e-05,9.20991e-05
191,5521.38,0.37513,0.27243,0.84568,0.94714,0.93556,0.96864,0.91746,0.40285,0.3008,0.81482,8.50255e-05,8.50255e-05,8.50255e-05
192,5548.37,0.36815,0.23468,0.83581,0.9359,0.94465,0.9681,0.92084,0.40313,0.30581,0.81508,7.7952e-05,7.7952e-05,7.7952e-05
193,5577.38,0.37358,0.25306,0.84081,0.92866,0.9467,0.9674,0.91507,0.39952,0.31038,0.81568,7.08784e-05,7.08784e-05,7.08784e-05
194,5604.61,0.35012,0.23848,0.82475,0.92567,0.94424,0.96756,0.91532,0.40323,0.30945,0.81544,6.38049e-05,6.38049e-05,6.38049e-05
195,5631.82,0.36268,0.25461,0.81882,0.94601,0.93565,0.96841,0.91749,0.39816,0.3078,0.8146,5.67313e-05,5.67313e-05,5.67313e-05
196,5658.77,0.35724,0.25301,0.83346,0.939,0.95615,0.96907,0.91939,0.39722,0.30042,0.81422,4.96578e-05,4.96578e-05,4.96578e-05
197,5686.18,0.36375,0.24448,0.84565,0.9428,0.95274,0.96882,0.91589,0.39954,0.29816,0.81576,4.25842e-05,4.25842e-05,4.25842e-05
198,5713.29,0.3664,0.25231,0.8543,0.94169,0.94653,0.96825,0.91706,0.40067,0.30101,0.81609,3.55107e-05,3.55107e-05,3.55107e-05
199,5740.21,0.34748,0.23293,0.82278,0.94367,0.94939,0.96897,0.91773,0.39981,0.29809,0.81607,2.84371e-05,2.84371e-05,2.84371e-05
200,5767.21,0.36188,0.27001,0.83815,0.93998,0.94535,0.96871,0.91925,0.39648,0.30586,0.81389,2.13636e-05,2.13636e-05,2.13636e-05
